,gerA_BA,gerA_BC,gerB_BA,gerB_BC,gerK_BA,gerK_BC
gerA_BA,0.0,1.0,7.0,7.0,9.0,9.0
gerA_BC,1.0,0.0,7.0,6.0,9.0,9.0
gerB_BA,7.0,7.0,0.0,1.0,4.0,4.0
gerB_BC,7.0,6.0,1.0,0.0,5.0,5.0
gerK_BA,9.0,9.0,4.0,5.0,0.0,0.0
gerK_BC,9.0,9.0,4.0,5.0,0.0,0.0
