,B. anthracis sequences/BA-GERK250BP.fasta,B. anthracis sequences/BA-GERK500BP.fasta,B. anthracis sequences/BA-GERK1000BP.fasta,B. cereus sequences/BC-GERK250BP.fasta,B. cereus sequences/BC-GERK500BP.fasta,B. cereus sequences/BC-GERK1000BP.fasta
B. anthracis sequences/BA-GERK250BP.fasta,0.0,0.0,0.0,0.0,0.0,0.0
B. anthracis sequences/BA-GERK500BP.fasta,0.0,0.0,0.0,0.0,0.0,0.0
B. anthracis sequences/BA-GERK1000BP.fasta,0.0,0.0,0.0,0.0,0.0,0.0
B. cereus sequences/BC-GERK250BP.fasta,0.0,0.0,0.0,0.0,0.0,0.0
B. cereus sequences/BC-GERK500BP.fasta,0.0,0.0,0.0,0.0,0.0,0.0
B. cereus sequences/BC-GERK1000BP.fasta,0.0,0.0,0.0,0.0,0.0,0.0
