,B. anthracis sequences/BA-GERB250BP.fasta,B. anthracis sequences/BA-GERB500BP.fasta,B. anthracis sequences/BA-GERB1000BP.fasta,B. cereus sequences/BC-GERB250BP.fasta,B. cereus sequences/BC-GERB500BP.fasta,B. cereus sequences/BC-GERB1000BP.fasta
B. anthracis sequences/BA-GERB250BP.fasta,0.0,0.0,0.0,1.0,1.0,1.0
B. anthracis sequences/BA-GERB500BP.fasta,0.0,0.0,0.0,1.0,1.0,1.0
B. anthracis sequences/BA-GERB1000BP.fasta,0.0,0.0,0.0,1.0,1.0,1.0
B. cereus sequences/BC-GERB250BP.fasta,1.0,1.0,1.0,0.0,0.0,0.0
B. cereus sequences/BC-GERB500BP.fasta,1.0,1.0,1.0,0.0,0.0,0.0
B. cereus sequences/BC-GERB1000BP.fasta,1.0,1.0,1.0,0.0,0.0,0.0
