,B. anthracis sequences/BA-GERA250BP.fasta,B. anthracis sequences/BA-GERA500BP.fasta,B. anthracis sequences/BA-GERA1000BP.fasta,B. cereus sequences/BC-GERA250BP.fasta,B. cereus sequences/BC-GERA500BP.fasta,B. cereus sequences/BC-GERA1000BP.fasta
B. anthracis sequences/BA-GERA250BP.fasta,0.0,2.0,2.0,1.0,1.0,1.0
B. anthracis sequences/BA-GERA500BP.fasta,2.0,0.0,0.0,1.0,1.0,1.0
B. anthracis sequences/BA-GERA1000BP.fasta,2.0,0.0,0.0,1.0,1.0,1.0
B. cereus sequences/BC-GERA250BP.fasta,1.0,1.0,1.0,0.0,0.0,0.0
B. cereus sequences/BC-GERA500BP.fasta,1.0,1.0,1.0,0.0,0.0,0.0
B. cereus sequences/BC-GERA1000BP.fasta,1.0,1.0,1.0,0.0,0.0,0.0
